zip,sortCode,state,city,proposal,startZip
01801,MA-EJ05,MA,Boston,BOS,11434
01803,MA-EJ04,MA,Boston,BOS,11434
01867,MA-EJ06,MA,Boston,BOS,11434
01880,MA-EJ07,MA,Boston,BOS,11434
01890,MA-EJ03,MA,Boston,BOS,11434
01901,MA-EK03,MA,Boston,BOS,11434
01902,MA-EK04,MA,Boston,BOS,11434
01904,MA-EK06,MA,Boston,BOS,11434
01905,MA-EJ02,MA,Boston,BOS,11434
01906,MA-EK01,MA,Boston,BOS,11434
01907,MA-EK05,MA,Boston,BOS,11434
01915,MA-EL06,MA,Boston,BOS,11434
01923,MA-EL05,MA,Boston,BOS,11434
01937,MA-EL04,MA,Boston,BOS,11434
01940,MA-EK07,MA,Boston,BOS,11434
01945,MA-EL01,MA,Boston,BOS,11434
01960,MA-EL03,MA,Boston,BOS,11434
01970,MA-EL02,MA,Boston,BOS,11434
02026,MA-EC09,MA,Boston,BOS,11434
02032,MA-EC12,MA,Boston,BOS,11434
02062,MA-EC11,MA,Boston,BOS,11434
02090,MA-EC10,MA,Boston,BOS,11434
02108,MA-EA05,MA,Boston,BOS,11434
02109,MA-EA01,MA,Boston,BOS,11434
02110,MA-EA03,MA,Boston,BOS,11434
02111,MA-EA07,MA,Boston,BOS,11434
02113,MA-EA02,MA,Boston,BOS,11434
02114,MA-EA06,MA,Boston,BOS,11434
02115,MA-EB04,MA,Boston,BOS,11434
02116,MA-EB01,MA,Boston,BOS,11434
02118,MA-EB07,MA,Boston,BOS,11434
02119,MA-EB06,MA,Boston,BOS,11434
02120,MA-EB05,MA,Boston,BOS,11434
02121,MA-EC04,MA,Boston,BOS,11434
02122,MA-EC05,MA,Boston,BOS,11434
02124,MA-EC06,MA,Boston,BOS,11434
02125,MA-EB09,MA,Boston,BOS,11434
02126,MA-EC07,MA,Boston,BOS,11434
02127,MA-EB08,MA,Boston,BOS,11434
02128,MA-EI01,MA,Boston,BOS,11434
02129,MA-EG01,MA,Boston,BOS,11434
02130,MA-EC01,MA,Boston,BOS,11434
02131,MA-EC02,MA,Boston,BOS,11434
02132,MA-EC03,MA,Boston,BOS,11434
02134,MA-EE03,MA,Boston,BOS,11434
02135,MA-EE05,MA,Boston,BOS,11434
02136,MA-EC08,MA,Boston,BOS,11434
02138,MA-EG09,MA,Boston,BOS,11434
02139,MA-EG04,MA,Boston,BOS,11434
02140,MA-EG08,MA,Boston,BOS,11434
02141,MA-EG02,MA,Boston,BOS,11434
02142,MA-EG03,MA,Boston,BOS,11434
02143,MA-EG05,MA,Boston,BOS,11434
02144,MA-EG07,MA,Boston,BOS,11434
02145,MA-EG06,MA,Boston,BOS,11434
02148,MA-EI06,MA,Boston,BOS,11434
02149,MA-EI05,MA,Boston,BOS,11434
02150,MA-EI04,MA,Boston,BOS,11434
02151,MA-EI03,MA,Boston,BOS,11434
02152,MA-EI02,MA,Boston,BOS,11434
02155,MA-EG10,MA,Boston,BOS,11434
02163,MA-EE04,MA,Boston,BOS,11434
02169,MA-ED04,MA,Boston,BOS,11434
02170,MA-ED02,MA,Boston,BOS,11434
02171,MA-ED01,MA,Boston,BOS,11434
02176,MA-EJ01,MA,Boston,BOS,11434
02180,MA-EJ02,MA,Boston,BOS,11434
02184,MA-ED06,MA,Boston,BOS,11434
02186,MA-ED03,MA,Boston,BOS,11434
02188,MA-ED07,MA,Boston,BOS,11434
02189,MA-ED08,MA,Boston,BOS,11434
02191,MA-ED05,MA,Boston,BOS,11434
02199,MA-EB02,MA,Boston,BOS,11434
02203,MA-EA04,MA,Boston,BOS,11434
02210,MA-EA08,MA,Boston,BOS,11434
02215,MA-EB03,MA,Boston,BOS,11434
02420,MA-EH09,MA,Boston,BOS,11434
02421,MA-EH08,MA,Boston,BOS,11434
02445,MA-EE02,MA,Boston,BOS,11434
02446,MA-EE01,MA,Boston,BOS,11434
