zip_code,sort_code,proposal,open_date,LAX,SFO,ORD,JFK,ATL,DFW,MIA,SEA,BOS,PDX
01801,MA-EJ05,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01803,MA-EJ04,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01867,MA-EJ06,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01880,MA-EJ07,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01890,MA-EJ03,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01901,MA-EK03,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01902,MA-EK04,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01904,MA-EK06,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01905,MA-EJ02,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01906,MA-EK01,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01907,MA-EK05,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01915,MA-EL06,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01923,MA-EL05,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01937,MA-EL04,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01940,MA-EK07,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01945,MA-EL01,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01960,MA-EL03,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
01970,MA-EL02,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02026,MA-EC09,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02032,MA-EC12,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02062,MA-EC11,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02090,MA-EC10,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02108,MA-EA05,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02109,MA-EA01,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02110,MA-EA03,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02111,MA-EA07,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02113,MA-EA02,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02114,MA-EA06,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02115,MA-EB04,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02116,MA-EB01,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02118,MA-EB07,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
02119,MA-EB06,BOS,Open,-,-,-,Zone 3,-,-,-,-,Zone 1,-
