zip,city,state,county,tz
00601,Adjuntas,Puerto Rico,Adjuntas,America/Pu
00602,Aguada,Puerto Rico,Aguada,America/Pu
00603,Aguadilla,Puerto Rico,Aguadilla,America/Pu
00606,Maricao,Puerto Rico,Maricao,America/Pu
00610,Anasco,Puerto Rico,Añasco,America/Pu
00611,Angeles,Puerto Rico,Utuado,America/Pu
00612,Arecibo,Puerto Rico,Arecibo,America/Pu
00616,Bajadero,Puerto Rico,Arecibo,America/Pu
00617,Barceloneta,Puerto Rico,Barceloneta,America/Pu
00622,Boqueron,Puerto Rico,Cabo Rojo,America/Pu
00623,Cabo Rojo,Puerto Rico,Cabo Rojo,America/Pu
00624,Penuelas,Puerto Rico,Peñuelas,America/Pu
00627,Camuy,Puerto Rico,Camuy,America/Pu
00631,Castaner,Puerto Rico,Lares,America/Pu
00637,Sabana Grande,Puerto Rico,Sabana Grande,America/Pu
00638,Ciales,Puerto Rico,Ciales,America/Pu
00641,Utuado,Puerto Rico,Utuado,America/Pu
00646,Dorado,Puerto Rico,Dorado,America/Pu
00647,Ensenada,Puerto Rico,Guánica,America/Pu
00650,Florida,Puerto Rico,Florida,America/Pu
00652,Garrochales,Puerto Rico,Arecibo,America/Pu
00653,Guanica,Puerto Rico,Guánica,America/Pu
00656,Guayanilla,Puerto Rico,Guayanilla,America/Pu
00659,Hatillo,Puerto Rico,Hatillo,America/Pu
00660,Hormigueros,Puerto Rico,Hormigueros,America/Pu
00662,Isabela,Puerto Rico,Isabela,America/Pu
00664,Jayuya,Puerto Rico,Jayuya,America/Pu
00667,Lajas,Puerto Rico,Lajas,America/Pu
00669,Lares,Puerto Rico,Lares,America/Pu
00670,Las Marias,Puerto Rico,Las Marías,America/Pu
00674,Manati,Puerto Rico,Manatí,America/Pu
00676,Moca,Puerto Rico,Moca,America/Pu
00677,Rincon,Puerto Rico,Rincón,America/Pu
00678,Quebradillas,Puerto Rico,Quebradillas,America/Pu
00680,Mayaguez,Puerto Rico,Mayagüez,America/Pu
00682,Mayaguez,Puerto Rico,Mayagüez,America/Pu
00683,San German,Puerto Rico,San Germán,America/Pu
00685,San Sebastian,Puerto Rico,San Sebastián,America/Pu
00687,Morovis,Puerto Rico,Morovis,America/Pu
00688,Sabana Hoyos,Puerto Rico,Arecibo,America/Pu
00690,San Antonio,Puerto Rico,Aguadilla,America/Pu
00692,Vega Alta,Puerto Rico,Vega Alta,America/Pu
00693,Vega Baja,Puerto Rico,Vega Baja,America/Pu
00694,Vega Baja,Puerto Rico,Vega Baja,America/Pu
00698,Yauco,Puerto Rico,Yauco,America/Pu
00703,Aguas Buenas,Puerto Rico,Aguas Buenas,America/Pu
00704,Aguirre,Puerto Rico,Salinas,America/Pu
00705,Aibonito,Puerto Rico,Aibonito,America/Pu
00707,Maunabo,Puerto Rico,Maunabo,America/Pu
00714,Arroyo,Puerto Rico,Arroyo,America/Pu
00715,Mercedita,Puerto Rico,Ponce,America/Pu
00716,Ponce,Puerto Rico,Ponce,America/Pu
00717,Ponce,Puerto Rico,Ponce,America/Pu
00718,Naguabo,Puerto Rico,Naguabo,America/Pu
00719,Naranjito,Puerto Rico,Naranjito,America/Pu
00720,Orocovis,Puerto Rico,Orocovis,America/Pu
00723,Patillas,Puerto Rico,Patillas,America/Pu
00725,Caguas,Puerto Rico,Caguas,America/Pu
00727,Caguas,Puerto Rico,Caguas,America/Pu
00728,Ponce,Puerto Rico,Ponce,America/Pu
00729,Canovanas,Puerto Rico,Canóvanas,America/Pu
00730,Ponce,Puerto Rico,Ponce,America/Pu
00731,Ponce,Puerto Rico,Ponce,America/Pu
00735,Ceiba,Puerto Rico,Ceiba,America/Pu
00736,Cayey,Puerto Rico,Cayey,America/Pu
00738,Fajardo,Puerto Rico,Fajardo,America/Pu
00739,Cidra,Puerto Rico,Cidra,America/Pu
00740,Puerto Real,Puerto Rico,Fajardo,America/Pu
00741,Punta Santiago,Puerto Rico,Humacao,America/Pu
00745,Rio Grande,Puerto Rico,Río Grande,America/Pu
00751,Salinas,Puerto Rico,Salinas,America/Pu
00754,San Lorenzo,Puerto Rico,San Lorenzo,America/Pu
00757,Santa Isabel,Puerto Rico,Santa Isabel,America/Pu
00765,Vieques,Puerto Rico,Vieques,America/Pu
00766,Villalba,Puerto Rico,Villalba,America/Pu
00767,Yabucoa,Puerto Rico,Yabucoa,America/Pu
00769,Coamo,Puerto Rico,Coamo,America/Pu
00771,Las Piedras,Puerto Rico,Las Piedras,America/Pu
00772,Loiza,Puerto Rico,Loíza,America/Pu
00773,Luquillo,Puerto Rico,Luquillo,America/Pu
00775,Culebra,Puerto Rico,Culebra,America/Pu
00777,Juncos,Puerto Rico,Juncos,America/Pu
00778,Gurabo,Puerto Rico,Gurabo,America/Pu
00780,Coto Laurel,Puerto Rico,Ponce,America/Pu
00782,Comerio,Puerto Rico,Comerío,America/Pu
00783,Corozal,Puerto Rico,Corozal,America/Pu
00784,Guayama,Puerto Rico,Guayama,America/Pu
00786,La Plata,Puerto Rico,Aibonito,America/Pu
00791,Humacao,Puerto Rico,Humacao,America/Pu
00794,Barranquitas,Puerto Rico,Barranquitas,America/Pu
00795,Juana Diaz,Puerto Rico,Juana Díaz,America/Pu
00802,St Thomas,Virgin Islands,St. Thomas,America/St
00820,Christiansted,Virgin Islands,St. Croix,America/St
00830,St John,Virgin Islands,St. John,America/St
00840,Frederiksted,Virgin Islands,St. Croix,America/St
00850,Kingshill,Virgin Islands,St. Croix,America/St
00851,Kingshill,Virgin Islands,St. Croix,America/St
00901,San Juan,Puerto Rico,San Juan,America/Pu
00906,San Juan,Puerto Rico,San Juan,America/Pu
00907,San Juan,Puerto Rico,San Juan,America/Pu
00909,San Juan,Puerto Rico,San Juan,America/Pu
00911,San Juan,Puerto Rico,San Juan,America/Pu
00912,San Juan,Puerto Rico,San Juan,America/Pu
00913,San Juan,Puerto Rico,San Juan,America/Pu
00915,San Juan,Puerto Rico,San Juan,America/Pu
00917,San Juan,Puerto Rico,San Juan,America/Pu
00918,San Juan,Puerto Rico,San Juan,America/Pu
00920,San Juan,Puerto Rico,San Juan,America/Pu
00921,San Juan,Puerto Rico,San Juan,America/Pu
00923,San Juan,Puerto Rico,San Juan,America/Pu
00924,San Juan,Puerto Rico,San Juan,America/Pu
00925,San Juan,Puerto Rico,San Juan,America/Pu
00926,San Juan,Puerto Rico,San Juan,America/Pu
00927,San Juan,Puerto Rico,San Juan,America/Pu
00934,Fort Buchanan,Puerto Rico,Guaynabo,America/Pu
00949,Toa Baja,Puerto Rico,Toa Baja,America/Pu
00950,Toa Baja,Puerto Rico,Dorado,America/Pu
00951,Toa Baja,Puerto Rico,Toa Baja,America/Pu
00952,Sabana Seca,Puerto Rico,Toa Baja,America/Pu
00953,Toa Alta,Puerto Rico,Toa Alta,America/Pu
00956,Bayamon,Puerto Rico,Bayamón,America/Pu
00957,Bayamon,Puerto Rico,Bayamón,America/Pu
00959,Bayamon,Puerto Rico,Bayamón,America/Pu
00960,Bayamon,Puerto Rico,Bayamón,America/Pu
00961,Bayamon,Puerto Rico,Bayamón,America/Pu
00962,Catano,Puerto Rico,Cataño,America/Pu
00965,Guaynabo,Puerto Rico,Guaynabo,America/Pu
00966,Guaynabo,Puerto Rico,Guaynabo,America/Pu
00968,Guaynabo,Puerto Rico,Guaynabo,America/Pu
00969,Guaynabo,Puerto Rico,Guaynabo,America/Pu
00971,Guaynabo,Puerto Rico,Guaynabo,America/Pu
00976,Trujillo Alto,Puerto Rico,Trujillo Alto,America/Pu
00979,Carolina,Puerto Rico,Carolina,America/Pu
00982,Carolina,Puerto Rico,Carolina,America/Pu
00983,Carolina,Puerto Rico,Carolina,America/Pu
00985,Carolina,Puerto Rico,Carolina,America/Pu
00987,Carolina,Puerto Rico,Carolina,America/Pu
01001,Agawam,Massachusetts,Hampden,America/Ne
01002,Amherst,Massachusetts,Hampshire,America/Ne
01003,Amherst,Massachusetts,Hampshire,America/Ne
01005,Barre,Massachusetts,Worcester,America/Ne
01007,Belchertown,Massachusetts,Hampshire,America/Ne
01008,Blandford,Massachusetts,Hampden,America/Ne
01009,Bondsville,Massachusetts,Hampden,America/Ne
01010,Brimfield,Massachusetts,Hampden,America/Ne
01011,Chester,Massachusetts,Hampden,America/Ne
01012,Chesterfield,Massachusetts,Hampshire,America/Ne
01013,Chicopee,Massachusetts,Hampden,America/Ne
01020,Chicopee,Massachusetts,Hampden,America/Ne
01022,Chicopee,Massachusetts,Hampden,America/Ne
01026,Cummington,Massachusetts,Hampshire,America/Ne
01027,Easthampton,Massachusetts,Hampshire,America/Ne
01028,East Longmeadow,Massachusetts,Hampden,America/Ne
01029,East Otis,Massachusetts,Berkshire,America/Ne
01030,Feeding Hills,Massachusetts,Hampden,America/Ne
01031,Gilbertville,Massachusetts,Worcester,America/Ne
01032,Goshen,Massachusetts,Hampshire,America/Ne
01033,Granby,Massachusetts,Hampshire,America/Ne
01034,Granville,Massachusetts,Hampden,America/Ne
01035,Hadley,Massachusetts,Hampshire,America/Ne
01036,Hampden,Massachusetts,Hampden,America/Ne
01037,Hardwick,Massachusetts,Worcester,America/Ne
01038,Hatfield,Massachusetts,Hampshire,America/Ne
01039,Haydenville,Massachusetts,Hampshire,America/Ne
01040,Holyoke,Massachusetts,Hampden,America/Ne
01050,Huntington,Massachusetts,Hampshire,America/Ne
01053,Leeds,Massachusetts,Hampshire,America/Ne
01054,Leverett,Massachusetts,Franklin,America/Ne
01056,Ludlow,Massachusetts,Hampden,America/Ne
01057,Monson,Massachusetts,Hampden,America/Ne
01060,Northampton,Massachusetts,Hampshire,America/Ne
01062,Florence,Massachusetts,Hampshire,America/Ne
01063,Northampton,Massachusetts,Hampshire,America/Ne
01066,North Hatfield,Massachusetts,Hampshire,America/Ne
01068,Oakham,Massachusetts,Worcester,America/Ne
01069,Palmer,Massachusetts,Hampden,America/Ne
01070,Plainfield,Massachusetts,Hampshire,America/Ne
01071,Russell,Massachusetts,Hampden,America/Ne
01072,Shutesbury,Massachusetts,Franklin,America/Ne
01073,Southampton,Massachusetts,Hampshire,America/Ne
01074,South Barre,Massachusetts,Worcester,America/Ne
01075,South Hadley,Massachusetts,Hampshire,America/Ne
01077,Southwick,Massachusetts,Hampden,America/Ne
01079,Thorndike,Massachusetts,Hampden,America/Ne
01080,Three Rivers,Massachusetts,Hampden,America/Ne
01081,Wales,Massachusetts,Hampden,America/Ne
01082,Ware,Massachusetts,Hampshire,America/Ne
01083,Warren,Massachusetts,Worcester,America/Ne
01084,West Chesterfield,Massachusetts,Hampshire,America/Ne
01085,Westfield,Massachusetts,Hampden,America/Ne
01088,West Hatfield,Massachusetts,Hampshire,America/Ne
01089,West Springfield,Massachusetts,Hampden,America/Ne
01092,West Warren,Massachusetts,Worcester,America/Ne
01093,Whately,Massachusetts,Franklin,America/Ne
01094,Wheelwright,Massachusetts,Worcester,America/Ne
01095,Wilbraham,Massachusetts,Hampden,America/Ne
01096,Williamsburg,Massachusetts,Hampshire,America/Ne
01097,Woronoco,Massachusetts,Hampden,America/Ne
